Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Total Precipitation daily sum [sfc],Total cloud cover daily mean [sfc],Shortwave Radiation - backwards daily sum [sfc],Wind,Wind direction daily mean [10 m above gnd],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Total cloud cover daily max [sfc],Total cloud cover daily min [sfc],Wind speed daily max [10 m above gnd],Wind speed daily min [10 m above gnd]
2016,1,1,0,0,6.88,0,78.28,1720.37,11.96,171.78,8.6,5.58,100,0,19.81,4.68
2016,1,2,0,0,5.76,6.3,85.62,430.76,14.58,154.79,8.15,3.84,100,0,22.48,6.38
2016,1,3,0,0,6.7,0.7,83.21,1505.88,14.85,223.16,9.71,4.22,100,13,19.39,5.6
2016,1,4,0,0,6.63,12.5,67.21,1683.88,22.79,236.34,8.43,4.4,100,0,30.01,12.89
2016,1,5,0,0,5.82,5.2,66.71,1456.04,14.31,209.92,8.75,2.88,100,0,24.4,6.92
2016,1,6,0,0,5.61,0.7,66.88,1496.98,11.85,215.72,8.89,2.35,100,0,18.21,5
2016,1,7,0,0,5.3,7.5,75.16,446.78,17.62,202.09,9.89,1.96,100,0,34.71,7.15
2016,1,8,0,0,6.95,1.7,90.62,1683.88,13.71,183.27,10.99,4.1,100,10,23.89,2.04
2016,1,9,0,0,8.53,7.1,80.96,1193.49,6.75,189.64,12.18,6.85,100,0,15.07,1.44
2016,1,10,0,0,8.16,4.1,74.33,1035.07,17.8,221.65,9.87,5.92,100,0,33.63,6.52
2016,1,11,0,0,7.03,15.3,79.29,1393.74,21.06,217.06,9.48,4.99,100,0,35.23,3.96
2016,1,12,0,0,5.6,3.8,33.96,1949.1,34.75,252.46,7.43,4.06,100,0,48.2,24.38
2016,1,13,0,0,3.08,0.2,72.08,1377.72,34.72,255.48,4.61,1.69,100,5,49.36,12.31
2016,1,14,0,0,1.24,2.1,49.08,1060.88,16.81,182.92,5.01,-1.65,100,0,32.86,7.1
2016,1,15,0,0,1.65,3.6,74.25,1505.88,40.53,268.79,4.02,-0.03,100,0,53,33.81
2016,1,16,0,0,1.23,0.9,86.83,1207.73,21.68,300.99,3.31,-0.81,100,16,37.17,12.52
2016,1,17,0,0,-0.17,1.3,42.33,1421.33,22.96,291.22,2.09,-2.57,100,0,36.46,5.15
2016,1,18,0,0,-1.69,0,50.31,2136.89,17.39,119.73,1.82,-4.89,100,0,31.35,12.4
2016,1,19,0,0,2.48,3.1,100,1545.93,9.33,134.58,5.96,-0.19,100,100,16.92,0
2016,1,20,0,0,2.65,1,71.5,1982.03,7,313.94,3.95,0.68,100,1,16.17,0.51
2016,1,21,0,0,0.94,0,39.67,2224.11,4.95,112.24,4.47,-1.11,100,0,10.83,0
2016,1,22,0,0,1.66,0.1,29.79,2322.9,9.01,120.21,5.85,-1.86,100,0,13.85,4.02
2016,1,23,0,0,6.51,5.8,51.66,2157.36,12.78,229.37,9.16,2.71,100,0,21.25,5.09
2016,1,24,0,0,5.14,0,57.04,2276.62,7.34,123.61,10.35,0.39,100,5,14.9,1.8
2016,1,25,0,0,8.19,0,0.29,2278.4,5.47,108.16,12.21,4.59,3.6,0,9.11,3.26
2016,1,26,0,0,9.04,0,24.18,2299.76,5.86,126.95,12.72,6.06,100,0,9.5,1.3
2016,1,27,0,0,10.18,0,70.24,2080.82,6.43,143.44,14,5.82,100,2.7,9.22,0.8
2016,1,28,0,0,10.94,3.1,94.15,1129.41,9.72,221.3,13.23,9.08,100,16.5,22.91,1.3
2016,1,29,0,0,8.39,1.9,48.38,2302.43,8.76,273.57,10.43,6.98,100,0,15.83,5.09
2016,1,30,0,0,8.05,1.3,68.72,1826.28,18.52,226.67,12.26,4.4,100,0.3,40.55,3.67
2016,1,31,0,0,9.17,11.2,99.04,1159.67,22.63,254.23,12.3,5.82,100,77,36.71,5.5
2016,2,1,0,0,11.58,0,49.32,2508.91,25.17,259.72,13.44,9.88,100,2.1,35.45,14.83
2016,2,2,0,0,11,0,83.21,2328.24,18.57,255.85,13.65,9,100,11,28.93,8.89
2016,2,3,0,0,5.51,7.6,84.83,1045.75,20.35,272.43,10.58,2.85,100,0,31.29,9.18
2016,2,4,0,0,4.3,1,91.54,1151.66,28.65,264.18,6.52,2.6,100,19,46.9,18.72
2016,2,5,0,0,8.55,0,54.63,2516.03,11.79,226.56,12.53,5.03,100,0,28.45,1.08
2016,2,6,0,0,6.68,0,24.23,2793.71,11.16,134.66,15.2,0.7,90,3.3,16.61,4.9
2016,2,7,0,0,4.37,5.9,80.12,708.44,13.17,182.08,7.27,0.92,100,12,27,3.56
2016,2,8,0,0,7.45,0.4,56.42,2857.79,31.55,224.95,12.41,2.83,100,0,47.97,8.12
2016,2,9,0,0,8.82,2.6,84.6,1711.47,35.41,236.33,11.72,4.14,100,4,56.33,12.74
2016,2,10,0,0,3.16,0.9,67.92,2449.28,39.45,257.9,6.2,1.08,100,0,53.1,27.32
2016,2,11,0,0,3.48,0.1,44.88,2894.28,15.38,233.42,7.11,0.25,100,0,29.02,2.6
2016,2,12,0,0,4.08,3.2,69.67,2190.29,10.22,177.14,7.74,0.4,100,6,23.36,2.74
2016,2,13,0,0,6.27,1.9,83.5,1615.35,22.38,245.19,9.82,2.47,100,4,43.85,2.81
2016,2,14,0,0,6.18,5.4,82.25,1385.73,17.84,254.45,8.4,5.04,100,3,40.73,8.09
2016,2,15,0,0,3.63,0.9,73.83,2482.21,15.96,301.93,5.18,1.98,100,10,22.03,6.41
2016,2,16,0,0,3.63,0,54.38,2984.17,18.36,76.82,7.74,0.77,100,0,25.96,9.83
2016,2,17,0,0,2.18,0,73.21,2961.03,9.24,289.12,6.08,-1.32,100,0,14.49,5.86
2016,2,18,0,0,4.75,0,46,3289.44,8.9,162.12,10.57,0.79,100,0,13.53,4.02
2016,2,19,0,0,4.51,2.6,69.79,2521.37,13.08,264.94,6.26,2.65,100,6,24.28,1.14
2016,2,20,0,0,5.42,1.2,79.67,722.68,25.12,232.31,9.87,1.45,100,0,39.63,11.09
2016,2,21,0,0,11.82,0.1,73.83,2915.64,26.31,247.5,14.55,10.09,100,0,38.16,6.76
2016,2,22,0,0,11.57,0,36.55,3521.73,16.77,265.92,15.22,8.71,100,0,27.72,5.69
2016,2,23,0,0,7.97,11.1,69.53,1237.99,18.8,274.59,11.16,3.29,100,0.3,31.62,4.32
2016,2,24,0,0,3.8,2.4,39.85,3341.06,9.43,145.59,8.74,-0.51,100,0,14.93,5.15
2016,2,25,0,0,3.38,7.8,97.92,1932.19,13.07,124.6,5.5,1.98,100,70,22.33,3.32
2016,2,26,0,0,3.16,0,46.88,3902.65,11.87,111.94,7.78,-0.36,100,2.7,22.07,0.51
2016,2,27,0,0,4.7,0,54.79,3817.21,9.8,93.39,11.08,0.93,100,0.9,14.66,2.41
2016,2,28,0,0,4.2,0,96.92,2924.54,10.81,316.69,9.45,-0.23,100,30,18.09,6.15
2016,2,29,0,0,2.7,14,100,579.39,23.42,320.6,4.66,0.72,100,100,30.24,18.42
2016,3,1,0,0,3.59,2.4,83.08,3728.21,18.11,287.08,7.65,0.35,100,0.9,28.84,9.18
2016,3,2,0,0,6.77,7.8,82.25,1792.46,27.66,249.33,10.11,3.67,100,0,37.21,16.64
2016,3,3,0,0,3.65,5.7,78,1527.24,24.54,272.46,5.35,1.7,100,0,35.64,9.5
2016,3,4,0,0,4.13,3.2,79.73,1028.84,22.57,196.48,8.34,-0.15,100,1,38.54,9.03
2016,3,5,0,0,5.4,6.7,82.92,1520.12,11.88,186.74,7.63,1.52,100,0,21.79,0
2016,3,6,0,0,2.68,7.2,81.54,2783.92,24.09,250.59,5.25,-0.23,100,7,42.96,3.55
2016,3,7,0,0,3.49,1.8,80.96,2985.95,11.6,214.29,6.84,0.1,100,35,24.5,2.55
2016,3,8,0,0,2.94,2.9,67.38,2730.52,9.48,281.69,5.57,0.29,100,0,18.21,2.41
2016,3,9,0,0,3.8,0,23.47,4638.68,13.3,150.81,9.21,-1.01,100,0,25.08,5.4
2016,3,10,0,0,5.16,0,20.88,4301.37,7.38,121.24,11.45,1.22,100,0,19.01,2.74
2016,3,11,0,0,4.96,0,59.08,4007.67,8.4,190.57,11.4,0.74,100,0,18.85,0
2016,3,12,0,0,4.96,0,51.67,3611.62,10.35,165.97,10.74,-0.22,100,0,21.46,1.8
2016,3,13,0,0,7.02,0,36.08,4647.58,18.86,56.46,11.18,3.34,100,0,33.18,5.86
2016,3,14,0,0,6.35,0,22.08,4815.79,15.87,82.47,11.78,2.62,100,0,23.44,9.83
2016,3,15,0,0,3.31,1.9,74.22,3583.14,9.71,244.21,9.88,-0.97,100,0,24.59,1.08
2016,3,16,0,0,5.33,0,4.62,4761.5,24.89,88.38,11.95,0.61,100,0,34.83,12.77
2016,3,17,0,0,5.35,0,2.21,5006.25,7.32,216.07,11.11,-0.01,17,0,18.25,1.8
2016,3,18,0,0,8.12,0,11.46,5032.95,6.36,230.88,13.9,2.64,100,0,12.66,2.6
2016,3,19,0,0,8.12,0,0.12,5092.58,8.32,269.55,12.52,4.2,3,0,18.9,0.8
2016,3,20,0,0,6.61,0,59.04,4447.33,8.58,272.43,11.66,3.62,100,0,16.26,1.02
2016,3,21,0,0,6.48,0,77.42,3640.99,8.98,234.76,11.39,3.24,100,0,18.39,0
2016,3,22,0,0,6.64,0,41.07,4566.59,7.26,174.59,12.35,1.53,100,0,20.39,0.36
2016,3,23,0,0,5.22,1.1,60.08,3922.23,11.14,203.51,10.02,-0.18,100,0,25.41,1.61
2016,3,24,0,0,6.72,0,53.3,4927.04,9.63,316.35,11.53,2.03,100,0,12.59,6.62
2016,3,25,0,0,8.31,6.7,100,1528.13,15.2,244.89,10.06,6.42,100,100,25.72,5.4
2016,3,26,0,0,10.7,1,30.31,5311.52,10.69,185.77,16.8,6.51,100,0,20.24,2.31
2016,3,27,0,0,9.34,2.2,60.89,3135.47,11.66,213.66,12.5,4.14,100,0,24.61,1.61
2016,3,28,0,0,9.08,0,43.75,3886.63,21.38,188.7,13.97,2.51,100,0,39.47,8.71
2016,3,29,0,0,10.73,3.8,49.96,2974.38,18.66,259.69,14.55,6.85,100,0,32.05,1.44
2016,3,30,0,0,13.37,7.7,89.33,3625.86,11.05,191.27,17.85,9.48,100,18,20.42,3.89
2016,3,31,0,0,14.44,0,40.12,5371.15,14.86,126.07,22.98,5.1,100,2,23.68,6.79
2016,4,1,0,0,10.27,0,52.94,3794.96,11.68,284.75,13.74,7.98,100,0,26.76,0
2016,4,2,0,0,13.12,0,29.5,5374.71,11.23,103.81,20.91,5.89,100,0,18.67,5
2016,4,3,0,0,16.23,0,98.79,4445.55,10.92,200.71,20.82,11.12,100,79,16.24,4.39
2016,4,4,0,0,14.95,0.9,66.34,5095.25,7.08,212.42,17.87,11.91,100,1.5,12.56,2.04
2016,4,5,0,0,12.71,5.2,79.58,3468.33,7.05,236.11,15.36,10.07,100,5.4,18.28,2.1
2016,4,6,0,0,11.89,5.1,59.88,3966.73,11.25,275.24,15.47,8.59,100,0,18.84,4.68
2016,4,7,0,0,8.46,1.3,87.5,3406.92,15.57,274.04,10.78,6.3,100,0,22.68,8.56
2016,4,8,0,0,8.07,1.8,100,3064.27,6.09,209.46,11.26,5.27,100,100,10.37,1.08
2016,4,9,0,0,9.73,0,91.58,4514.97,7.78,306.22,12.29,6.17,100,1,13.66,3.1
2016,4,10,0,0,11.36,0,15.68,6375.07,9.76,134.55,16.89,5.74,100,0.9,16.75,2.97
2016,4,11,0,0,12.49,0.1,7.67,6099.17,7.9,163.37,18.59,5.76,78,0,11.75,2.55
2016,4,12,0,0,13.95,1,24.17,6234.45,7.95,150,19.25,8.97,100,0,16.42,0.8
2016,4,13,0,0,11.81,7.3,91.62,2548.96,12.89,226.87,14.03,9.38,100,1,22.46,1.44
2016,4,14,0,0,11.66,2.2,62.24,5225.19,10.92,212.89,16.27,7.57,100,4.8,18.06,2.1
2016,4,15,0,0,12.05,2.6,93.17,3185.31,12.91,200.28,15.99,7.97,100,33,24.93,4.1
2016,4,16,0,0,13.86,5.4,91.21,2936.11,14.13,189.81,17.83,10.17,100,22,27.8,2.28
2016,4,17,0,0,10.57,7.9,96.33,2885.38,18.3,262.06,14.84,6.05,100,12,34.41,5.99
2016,4,18,0,0,7.65,12.1,91.96,2645.97,11.66,291.68,9.86,6.09,100,0,23.22,1.08
2016,4,19,0,0,9.49,0,0,6869.02,5.98,200.5,15.31,4.6,0,0,13.68,1.08
2016,4,20,0,0,11.41,0,1.97,6968.7,12.7,106.56,18.94,3.84,25,0,22.42,3.32
2016,4,21,0,0,13.2,0,46.01,6456.06,9.44,216.56,20.69,4.28,100,0,16.06,4.35
2016,4,22,0,0,14.94,0.8,89.52,4005,10.49,284.63,17.49,11.31,100,4.5,16.62,4.68
2016,4,23,0,0,10.87,8.2,100,2288.19,11.65,298.09,14.47,6.13,100,100,30.25,0.72
2016,4,24,0,0,5.37,2.8,66.62,4720.56,13.42,302.71,9.63,0.86,100,0,19.2,5.04
2016,4,25,0,0,5.16,2.6,77.92,4717.89,24.16,276.82,9.94,-0.6,100,10,38.77,11.77
2016,4,26,0,0,6.25,6.3,96.12,3061.6,25.93,277.93,7.79,3.97,100,20,39.66,2.19
2016,4,27,0,0,4.61,1.2,53.12,5956.77,25.89,261.81,8.08,1.34,100,0,40.19,14.28
2016,4,28,0,0,7.19,0.1,34.46,5443.24,7.39,240.05,11.78,2.01,100,0,17.5,0.8
2016,4,29,0,0,10.19,0,44.88,6144.56,3.28,233.45,14.9,4.53,100,0,5.63,0.36
2016,4,30,0,0,11.1,5.9,60.62,4282.68,12.8,225.75,17.13,5.56,100,0,26.65,4.1
2016,5,1,0,0,8.09,11.9,100,1989.15,17.16,259.66,12.41,4.87,100,100,23.73,3.76
2016,5,2,0,0,11.88,0.1,69,6479.2,7.88,263.29,17.05,6.54,100,0,15.19,3.62
2016,5,3,0,0,12.23,3.8,62.04,3291.22,10.23,275.66,15.15,9.39,100,0,20.67,2.55
2016,5,4,0,0,10.5,0,2.33,7461.76,7.25,85.82,15.76,4.1,44,0,12.41,2.16
2016,5,5,0,0,12.03,0,0.83,7645.99,17.11,102.64,19.64,2.34,20,0,27.78,3.08
2016,5,6,0,0,15.88,0,0.68,7539.19,9.43,100.37,22.68,8.68,10,0,14.34,5.96
2016,5,7,0,0,17.14,0,1.37,7490.24,6.3,146.55,22.78,11.38,10,0,9.75,1.44
2016,5,8,0,0,16.32,0,1.93,7419.93,11.49,109.94,23.41,8.66,10,0,23.47,2.55
2016,5,9,0,0,16.57,0,58.92,6284.29,7.44,106.65,22.73,9.76,100,0,14.04,1.61
2016,5,10,0,0,18.03,0.1,46.77,6392.87,5.67,174.03,22.38,13.76,100,0,10.81,1.44
2016,5,11,0,0,15.03,0.7,81.91,4196.35,5.3,183.17,19.92,11.05,100,12,12.56,0
2016,5,12,0,0,13.55,27.7,97,1938.42,12.65,240.5,16.23,12.19,100,60,24.01,2.16
2016,5,13,0,0,13.72,21,100,1745.29,18.73,288.52,15.56,11.91,100,100,25.56,5.45
2016,5,14,0,0,13.07,7.2,92.04,2908.52,10.38,311.28,14.65,9.99,100,61,14.58,6.38
2016,5,15,0,0,8.84,0,39.79,7495.58,11.81,326.84,12.33,5.23,100,0,14.39,5.6
2016,5,16,0,0,9.21,5.8,85.92,3681.04,13.76,249.88,12.88,4.45,100,5,23.62,1.94
2016,5,17,0,0,11.89,1.8,54.96,6471.19,7.62,223.64,16.58,6.76,100,0,13.72,0.51
2016,5,18,0,0,14.48,4.8,59.06,6302.98,6.81,174.98,20.21,8.15,100,0,19.77,1.08
2016,5,19,0,0,11.51,12.5,79.88,4923.48,16.79,268.61,13.33,9.02,100,10,23.31,4.69
2016,5,20,0,0,13.32,0,23.58,7655.78,7.23,244.81,19.71,4.96,100,0,10.95,2.31
2016,5,21,0,0,18.29,0,25.64,7682.48,6.05,106.18,24.32,11.72,100,3.3,10.95,3.22
2016,5,22,0,0,18.83,3.6,30.17,6743.53,11.19,168.82,26.26,12.74,100,0.6,28.61,1.94
2016,5,23,0,0,10.62,21.7,100,2251.7,21.54,260.54,13.76,9.2,100,100,25.98,15.27
2016,5,24,0,0,11.68,2.4,82.5,5277.7,15.91,298.41,15.86,8.68,100,0,21.92,6.13
2016,5,25,0,0,15.17,0,51.62,7857.81,5.95,168,21.07,8.57,100,0,14.04,1.8
2016,5,26,0,0,19.34,0,18.45,7807.08,4.69,120.51,24.15,13.06,100,0,8.35,2.28
2016,5,27,0,0,20.52,0,35.84,7617.51,6.44,204.54,25.49,15.27,100,0,13.4,1.44
2016,5,28,0,0,19.95,4.9,59.58,6286.07,7.52,167.94,25.2,15.12,100,0,22.15,0.8
2016,5,29,0,0,16.53,13.7,81.11,2066.58,7.32,184.1,18.76,13.62,100,0,15.04,1.44
2016,5,30,0,0,16.25,7.6,95.83,3289.44,17.6,243.23,18.92,14.2,100,56,24.29,9.42
2016,5,31,0,0,15.24,6.1,93.96,3131.02,13.75,247.52,18.62,12.82,100,11,27.11,3.67
2016,6,1,0,0,16.15,0.1,67.92,5857.09,4.96,226.7,19.91,12.06,100,0,12.57,0.51
2016,6,2,0,0,15.61,6.6,94.17,4452.67,11.71,248.98,20.02,13.12,100,18,21.89,2.97
2016,6,3,0,0,14.91,4.2,100,2786.59,7.15,191.24,16.64,12.76,100,100,12.02,3.89
2016,6,4,0,0,16.11,0.6,82.92,5762.75,10.04,262.27,19.78,12.79,100,30,16.1,5.4
2016,6,5,0,0,16.45,3.4,64.33,3759.36,4.52,238.16,19.25,13.31,100,2,7.99,0.8
2016,6,6,0,0,18.81,0.7,27.76,6909.07,3.3,142.35,24.43,12.95,100,0,6.92,0.51
2016,6,7,0,0,19.65,0.8,31.73,4599.52,5.17,222.63,23.9,15.63,100,0,11.17,0.51
2016,6,8,0,0,17.17,8.9,76.88,3097.2,10.87,259.53,19.67,14.11,100,4.2,15.54,5.9
2016,6,9,0,0,17.49,0.7,49.42,6280.73,7.41,204.01,20.93,13.47,100,0,14,2.97
2016,6,10,0,0,18.33,0,30.26,7605.05,4.75,154.58,23.67,11.9,100,0,7.77,1.94
2016,6,11,0,0,17.85,14.6,84.5,3519.95,11.07,256.37,19.66,15.22,100,4,18.13,3.42
2016,6,12,0,0,15.97,4.7,94.79,2883.6,13.69,252.51,17.22,14,100,53,20.96,5.86
2016,6,13,0,0,14.99,21,100,2597.02,11.08,233.31,17.04,13.2,100,100,24.4,3.6
2016,6,14,0,0,14.96,3.8,92.54,5005.36,13.89,224.77,17.45,12.28,100,14,34.11,2.81
2016,6,15,0,0,14.05,2.2,67.25,4605.75,7.5,183.75,18.13,8.73,100,0,12.98,0.72
2016,6,16,0,0,14.77,7,96.58,4328.96,10.29,184.87,17.29,11.63,100,39,24.03,1.44
2016,6,17,0,0,15.46,5.3,63.54,5024.94,11.6,234.27,18.88,11.5,100,0,24.45,0.51
2016,6,18,0,0,14.86,2.4,65.96,3689.94,7.79,211.48,16.77,12.14,100,2.4,15.12,0.72
2016,6,19,0,0,14.03,4.6,60.33,4231.95,13.28,299.36,16.4,11.98,100,0,19,7.39
2016,6,20,0,0,15.92,0,51.57,7527.62,4.53,217.45,22.26,9.43,100,0,13.85,0.36
2016,6,21,0,0,17.15,2,91.75,2632.62,6.43,200.82,19.79,13.16,100,0,13.28,0.8
2016,6,22,0,0,22.09,0,11.38,8154.18,7.59,89.78,28.97,13.72,100,0,14.59,1.3
2016,6,23,0,0,25.59,0,0,8131.93,6.05,182.32,31.59,18.4,0,0,15.65,0.8
2016,6,24,0,0,26.12,1.1,13.25,6690.13,8.83,261.26,30.96,21.73,82,0,22.55,1.3
2016,6,25,0,0,20.27,3.5,87.04,4001.44,11.84,267.79,23.74,15.2,100,4,28.12,0.51
2016,6,26,0,0,16.2,0.1,62.82,6026.19,10.93,294.62,21.03,11.55,100,0,16.62,5.35
